"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"151","0.6872972972972973","0.6872972972972973","0.6872972972972973","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"153","0.6635135135135135","0.6635135135135135","0.6635135135135135","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"155","0.6845945945945947","0.6845945945945947","0.6845945945945947","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"157","0.6781081081081082","0.6781081081081082","0.6781081081081082","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"159","0.677297297297297","0.677297297297297","0.677297297297297","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"161","0.6889189189189191","0.6889189189189191","0.6889189189189191","0.75","0.75","0.75"
"163","0.6935135135135133","0.6935135135135133","0.6935135135135133","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"165","0.7121621621621621","0.7121621621621621","0.7121621621621621","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"167","0.6959459459459458","0.6959459459459458","0.6959459459459458","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"169","0.7162162162162161","0.7162162162162161","0.7162162162162161","0.8200000000000002","0.8200000000000002","0.8200000000000002"
"171","0.7","0.7","0.7","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"173","0.7032432432432432","0.7032432432432432","0.7032432432432432","0.75","0.75","0.75"
"175","0.7189189189189189","0.7189189189189189","0.7189189189189189","0.7399999999999994","0.7399999999999994","0.7399999999999994"
"177","0.724054054054054","0.724054054054054","0.724054054054054","0.75","0.75","0.75"
"179","0.7294594594594594","0.7294594594594594","0.7294594594594594","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"181","0.7305405405405405","0.7305405405405405","0.7305405405405405","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"183","0.7383783783783786","0.7383783783783786","0.7383783783783786","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"185","0.7464864864864864","0.7464864864864864","0.7464864864864864","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"187","0.7624324324324324","0.7624324324324324","0.7624324324324324","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"189","0.7554054054054054","0.7554054054054054","0.7554054054054054","0.7600000000000006","0.7600000000000006","0.7600000000000006"
"191","0.7535135135135135","0.7535135135135135","0.7535135135135135","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"193","0.7578378378378379","0.7578378378378379","0.7578378378378379","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"195","0.7878378378378378","0.7878378378378378","0.7878378378378378","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"197","0.7789189189189191","0.7789189189189191","0.7789189189189191","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"199","0.7913513513513513","0.7913513513513513","0.7913513513513513","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"201","0.7972972972972974","0.7972972972972974","0.7972972972972974","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"203","0.8143243243243242","0.8143243243243242","0.8143243243243242","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"205","0.8156756756756757","0.8156756756756757","0.8156756756756757","0.84","0.84","0.84"
"207","0.8354054054054051","0.8354054054054051","0.8354054054054051","0.8500000000000005","0.8500000000000005","0.8500000000000005"
"209","0.8335135135135137","0.8335135135135137","0.8335135135135137","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"211","0.8494594594594596","0.8494594594594596","0.8494594594594596","0.8799999999999997","0.8799999999999997","0.8799999999999997"
"213","0.8470270270270269","0.8470270270270269","0.8470270270270269","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"215","0.8383783783783785","0.8383783783783785","0.8383783783783785","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"217","0.8589189189189188","0.8589189189189188","0.8589189189189188","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"219","0.8610810810810812","0.8610810810810812","0.8610810810810812","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"221","0.861891891891892","0.861891891891892","0.861891891891892","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"223","0.8499999999999998","0.8499999999999998","0.8499999999999998","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"225","0.8624324324324323","0.8624324324324323","0.8624324324324323","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"227","0.8735135135135134","0.8735135135135134","0.8735135135135134","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"229","0.8778378378378378","0.8778378378378378","0.8778378378378378","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"231","0.8683783783783785","0.8683783783783785","0.8683783783783785","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"233","0.867837837837838","0.867837837837838","0.867837837837838","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"235","0.8832432432432434","0.8832432432432434","0.8832432432432434","0.9600000000000006","0.9600000000000006","0.9600000000000006"
"237","0.8994594594594593","0.8994594594594593","0.8994594594594593","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"239","0.9029729729729731","0.9029729729729731","0.9029729729729731","0.98","0.98","0.98"
"241","0.8954054054054055","0.8954054054054055","0.8954054054054055","0.98","0.98","0.98"
"243","0.8940540540540542","0.8940540540540542","0.8940540540540542","1","1","1"
"245","0.8924324324324321","0.8924324324324321","0.8924324324324321","1","1","1"
"247","0.8986486486486487","0.8986486486486487","0.8986486486486487","1","1","1"
"249","0.9027027027027027","0.9027027027027027","0.9027027027027027","1","1","1"
"251","0.906756756756757","0.906756756756757","0.906756756756757","1","1","1"
"253","0.9178378378378375","0.9178378378378375","0.9178378378378375","1","1","1"
"255","0.9159459459459464","0.9159459459459464","0.9159459459459464","0.98","0.98","0.98"
"257","0.9118918918918919","0.9118918918918919","0.9118918918918919","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"259","0.9167567567567568","0.9167567567567568","0.9167567567567568","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"261","0.9086486486486486","0.9086486486486486","0.9086486486486486","0.98","0.98","0.98"
"263","0.9229729729729731","0.9229729729729731","0.9229729729729731","1","1","1"
"265","0.9000000000000001","0.9000000000000001","0.9000000000000001","0.98","0.98","0.98"
