audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,162,0.763691496,0.797073171,,,162,0.702069875,0.72,,,,,,,,,,
,163,0.760316414,0.813658537,,,163,0.698141068,0.722926829,,,,,,,,,,
,164,0.764772577,0.794146341,,,164,0.702966381,0.71804878,,,,,,,,,,
,165,0.760158207,0.782439024,,,165,0.699063942,0.710243902,,,,,,,,,,
,166,0.761107449,0.792195122,,,166,0.699485827,0.723902439,,,,,,,,,,
,167,0.763375082,0.787317073,,,167,0.700856955,0.735609756,,,,,,,,,,
,168,0.765009888,0.80195122,,,168,0.703546473,0.745365854,,,,,,,,,,
,169,0.767382993,0.795121951,,,169,0.706315096,0.743414634,,,,,,,,,,
,170,0.763032301,0.811707317,,,170,0.702649967,0.735609756,,,,,,,,,,
,171,0.767620303,0.807804878,,,171,0.704363876,0.737560976,,,,,,,,,,
,172,0.770362558,0.818536585,,,172,0.706736981,0.735609756,,,,,,,,,,
,173,0.771021753,0.823414634,,,173,0.707923533,0.753170732,,,,,,,,,,
,174,0.769545155,0.815609756,,,174,0.708398154,0.745365854,,,,,,,,,,
,175,0.772313777,0.823414634,,,175,0.709083718,0.730731707,,,,,,,,,,
,176,0.770177983,0.807804878,,,176,0.708609097,0.739512195,,,,,,,,,,
,177,0.770125247,0.804878049,,,177,0.709742914,0.730731707,,,,,,,,,,
,178,0.770046144,0.807804878,,,178,0.708371786,0.726829268,,,,,,,,,,
,179,0.77336849,0.804878049,,,179,0.712617007,0.728780488,,,,,,,,,,
,180,0.774185893,0.787317073,,,180,0.711588662,0.722926829,,,,,,,,,,
,181,0.776875412,0.79804878,,,181,0.712854318,0.743414634,,,,,,,,,,
,182,0.778061964,0.809756098,,,182,0.714700066,0.751219512,,,,,,,,,,
,183,0.77750824,0.806829268,,,183,0.715939354,0.751219512,,,,,,,,,,
