"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"283","0.8656756756756757","0.8656756756756757","0.8656756756756757","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"285","0.8683783783783785","0.8683783783783785","0.8683783783783785","1","1","1"
"287","0.8754054054054055","0.8754054054054055","0.8754054054054055","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"289","0.8672972972972972","0.8672972972972972","0.8672972972972972","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"291","0.8702702702702702","0.8702702702702702","0.8702702702702702","1","1","1"
"293","0.8827027027027026","0.8827027027027026","0.8827027027027026","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"295","0.8754054054054052","0.8754054054054052","0.8754054054054052","0.98","0.98","0.98"
"297","0.8886486486486489","0.8886486486486489","0.8886486486486489","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"299","0.8802702702702703","0.8802702702702703","0.8802702702702703","0.98","0.98","0.98"
"301","0.8686486486486483","0.8686486486486483","0.8686486486486483","0.98","0.98","0.98"
"303","0.8670270270270269","0.8670270270270269","0.8670270270270269","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"305","0.8616216216216214","0.8616216216216214","0.8616216216216214","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"307","0.8659459459459458","0.8659459459459458","0.8659459459459458","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"309","0.8840540540540539","0.8840540540540539","0.8840540540540539","1","1","1"
"311","0.8681081081081082","0.8681081081081082","0.8681081081081082","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"313","0.881891891891892","0.881891891891892","0.881891891891892","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"315","0.8694594594594595","0.8694594594594595","0.8694594594594595","0.9699999999999994","0.9699999999999994","0.9699999999999994"
"317","0.8983783783783786","0.8983783783783786","0.8983783783783786","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"319","0.8821621621621621","0.8821621621621621","0.8821621621621621","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"321","0.8845945945945947","0.8845945945945947","0.8845945945945947","1","1","1"
"323","0.8905405405405407","0.8905405405405407","0.8905405405405407","1","1","1"
"325","0.8813513513513513","0.8813513513513513","0.8813513513513513","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"327","0.8970270270270272","0.8970270270270272","0.8970270270270272","1","1","1"
"329","0.9032432432432433","0.9032432432432433","0.9032432432432433","1","1","1"
