stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,468,0.807567568,0.76
,469,0.811351351,0.79
,470,0.805135135,0.81
,471,0.815405405,0.81
,472,0.82,0.81
,473,0.804324324,0.8
,474,0.818108108,0.79
,475,0.811621622,0.79
,476,0.811621622,0.82
,477,0.814054054,0.82
,478,0.821081081,0.83
,479,0.809189189,0.82
,480,0.817567568,0.82
,481,0.812702703,0.82
,482,0.820810811,0.83
,483,0.810540541,0.84
,484,0.813243243,0.84
,485,0.819459459,0.83
,486,0.824594595,0.81
,487,0.823513514,0.8
,488,0.820540541,0.8
,489,0.829459459,0.79
,490,0.838918919,0.79
,491,0.831621622,0.8
,492,0.827027027,0.81
,493,0.826756757,0.81
,494,0.832432432,0.8
,495,0.83027027,0.82
,496,0.831621622,0.81
,497,0.840540541,0.81
,498,0.83972973,0.83
,499,0.833783784,0.82
,500,0.831081081,0.83
,501,0.829189189,0.82
,502,0.835405405,0.82
,503,0.831621622,0.79
,504,0.845945946,0.81
,505,0.839459459,0.8
,506,0.838648649,0.82
,507,0.837027027,0.83
,508,0.838378378,0.81
,509,0.84,0.83
,510,0.838918919,0.82
,511,0.845135135,0.83
,512,0.84027027,0.85
,513,0.843513514,0.85
,514,0.842972973,0.84
,515,0.849459459,0.85
,516,0.844864865,0.85
,517,0.847837838,0.83
,518,0.852972973,0.86
,519,0.838918919,0.85
,520,0.852162162,0.85
,521,0.853243243,0.85
,522,0.856216216,0.85
,523,0.850810811,0.86
,524,0.850810811,0.86
,525,0.84972973,0.87
,526,0.846486486,0.88
,527,0.858108108,0.85
,528,0.857297297,0.84
,529,0.851081081,0.83
,530,0.859189189,0.84
,531,0.854864865,0.84
,532,0.858108108,0.85
,533,0.857297297,0.87
,534,0.861351351,0.86
,535,0.855405405,0.86
,536,0.855405405,0.84
,537,0.858648649,0.84
,538,0.86027027,0.84
,539,0.861081081,0.83
,540,0.855405405,0.83
,541,0.862432432,0.84
,542,0.864054054,0.87
,543,0.868648649,0.86
,544,0.871081081,0.86
,545,0.869189189,0.85
,546,0.866216216,0.87
,547,0.865675676,0.87
,548,0.873243243,0.86
,549,0.862432432,0.85
,550,0.868108108,0.86
,551,0.869189189,0.86
,552,0.861351351,0.87
,553,0.868378378,0.88
,554,0.868918919,0.9
,555,0.868918919,0.88
,556,0.867837838,0.88
,557,0.868918919,0.88
,558,0.869189189,0.88
,559,0.872972973,0.89
,560,0.872432432,0.88
,561,0.872162162,0.88
,562,0.875405405,0.89
,563,0.876216216,0.87
,564,0.873783784,0.88
,565,0.876486486,0.88
,566,0.875675676,0.87
,567,0.874054054,0.87
,568,0.877027027,0.87
,569,0.877027027,0.9
,570,0.875405405,0.88
,571,0.874324324,0.87
,572,0.880810811,0.9
,573,0.878378378,0.89
,574,0.883513514,0.9
,575,0.875945946,0.86
,576,0.872972973,0.86
,577,0.876216216,0.88
,578,0.878378378,0.89
,579,0.882432432,0.89
,580,0.879459459,0.88
,581,0.880540541,0.89
,582,0.880810811,0.89
,583,0.880810811,0.88
,584,0.884594595,0.88
,585,0.88972973,0.89
,586,0.886216216,0.88
,587,0.886486486,0.89
,588,0.882162162,0.89
,589,0.890540541,0.89
,590,0.891081081,0.89
,591,0.887567568,0.9
,592,0.885945946,0.91
,593,0.885405405,0.88
,594,0.883783784,0.9
,595,0.892432432,0.9
,596,0.885135135,0.9
,597,0.891621622,0.9
,598,0.88972973,0.9
,599,0.885945946,0.91
,600,0.896486486,0.9
,601,0.884864865,0.9
,602,0.895135135,0.88
,603,0.887567568,0.88
,604,0.893783784,0.88
,605,0.902162162,0.88
,606,0.89,0.87
,607,0.891891892,0.89
,608,0.89027027,0.89
,609,0.892162162,0.88
,610,0.895405405,0.88
,611,0.895945946,0.89
,612,0.888918919,0.9
,613,0.897837838,0.9
,614,0.897567568,0.89
,615,0.896756757,0.89
,616,0.895405405,0.89
,617,0.9,0.9
,618,0.892972973,0.88
,619,0.897567568,0.89
,620,0.893783784,0.89
,621,0.898918919,0.89
,622,0.899189189,0.89
,623,0.895945946,0.92
,624,0.902162162,0.91
,625,0.903243243,0.92
,626,0.898918919,0.92
,627,0.895945946,0.89
,628,0.897567568,0.92
,629,0.895405405,0.92
,630,0.897027027,0.92
,631,0.902972973,0.91
